Date;Invested;Current value;Current profit
10/05/2021 12:08:01;400.81;466.15;65.34
10/05/2021 13:08:01;400.81;467.11;66.3
10/05/2021 14:08:01;400.81;467.2;66.39
10/05/2021 15:08:01;400.81;463.69;62.88
10/05/2021 16:08:01;400.81;457.0;56.19
10/05/2021 17:08:02;400.81;468.86;68.05
10/05/2021 18:08:02;400.81;460.58;59.77
10/05/2021 19:08:02;400.81;456.91;56.1
10/05/2021 20:08:01;400.81;452.54;51.73
10/05/2021 21:08:01;400.81;433.17;32.36
10/05/2021 22:08:01;400.81;433.64;32.83
10/05/2021 23:08:02;400.81;447.43;46.62
11/05/2021 00:08:02;400.81;445.7;44.89
11/05/2021 01:08:01;400.81;433.16;32.35
11/05/2021 02:08:01;400.81;428.67;27.86
11/05/2021 03:08:01;400.81;429.99;29.18
11/05/2021 04:08:01;400.81;419.52;18.71
11/05/2021 05:08:01;400.81;423.68;22.87
11/05/2021 06:08:01;400.81;430.48;29.67
11/05/2021 07:08:01;400.81;427.75;26.94
11/05/2021 08:08:01;400.81;438.57;37.76
11/05/2021 09:08:01;400.81;438.36;37.55
11/05/2021 10:08:02;400.81;434.18;33.37
11/05/2021 11:08:01;400.81;444.77;43.96
11/05/2021 12:08:01;400.81;445.6;44.79
11/05/2021 13:08:01;400.81;440.41;39.6
11/05/2021 14:08:01;400.81;439.64;38.83
11/05/2021 15:08:01;400.81;442.81;42.0
11/05/2021 16:08:02;400.81;442.92;42.11
11/05/2021 17:08:01;400.81;446.39;45.58
11/05/2021 18:08:01;400.81;446.56;45.75
11/05/2021 19:08:02;400.81;449.18;48.37
11/05/2021 20:08:01;400.81;451.37;50.56
11/05/2021 21:08:02;400.81;453.38;52.57
11/05/2021 22:08:01;400.81;455.4;54.59
11/05/2021 23:08:01;400.81;449.31;48.5
12/05/2021 00:08:01;400.81;454.32;53.51
12/05/2021 01:08:01;400.81;461.24;60.43
12/05/2021 02:08:01;400.81;464.43;63.62
12/05/2021 03:08:01;400.81;460.4;59.59
12/05/2021 04:08:01;400.81;464.87;64.06
12/05/2021 05:08:01;400.81;466.7;65.89
12/05/2021 06:08:01;400.81;461.09;60.28
12/05/2021 07:08:01;400.81;462.88;62.07
12/05/2021 08:08:01;400.81;456.89;56.08
12/05/2021 09:08:02;400.81;460.27;59.46
12/05/2021 10:08:01;400.81;457.35;56.54
12/05/2021 11:08:02;400.81;458.77;57.96
12/05/2021 12:08:01;400.81;449.96;49.15
12/05/2021 13:08:01;400.81;456.35;55.54
12/05/2021 14:08:01;400.81;452.85;52.04
12/05/2021 15:08:02;400.81;453.54;52.73
12/05/2021 16:08:01;400.81;449.91;49.1
12/05/2021 17:08:02;400.81;439.87;39.06
12/05/2021 18:08:02;400.81;436.62;35.81
12/05/2021 19:08:01;400.81;439.42;38.61
12/05/2021 20:08:02;400.81;432.36;31.55
12/05/2021 21:08:02;400.81;439.27;38.46
12/05/2021 22:08:01;400.81;443.01;42.2
12/05/2021 23:08:01;400.81;443.65;42.84
13/05/2021 00:08:01;400.81;431.04;30.23
13/05/2021 01:08:02;400.81;383.78;-17.03
13/05/2021 02:08:01;400.81;402.85;2.04
13/05/2021 03:08:01;400.81;408.93;8.12
13/05/2021 04:08:01;400.81;405.98;5.17
13/05/2021 05:08:01;400.81;402.34;1.53
13/05/2021 06:08:01;400.81;411.13;10.32
13/05/2021 07:08:01;400.81;416.37;15.56
13/05/2021 08:08:01;400.81;422.56;21.75
13/05/2021 09:08:02;400.81;418.06;17.25
13/05/2021 10:08:01;400.81;402.96;2.15
13/05/2021 11:08:01;400.81;384.12;-16.69
13/05/2021 12:08:01;400.81;388.34;-12.47
13/05/2021 13:08:01;400.81;402.19;1.38
13/05/2021 14:08:02;400.81;412.03;11.22
13/05/2021 15:08:01;400.81;415.86;15.05
13/05/2021 16:08:01;400.81;413.94;13.13
13/05/2021 17:08:01;400.81;405.95;5.14
13/05/2021 18:08:01;400.81;400.24;-0.57
